Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,151.384,-92.202,90,bottom
C2,0.1uF,C_0805_2012Metric,169.00525,-96.10725,90,bottom
C3,0.1uF,C_0805_2012Metric,163.068,-110.33125,180,bottom
C4,10uF,C_0805_2012Metric,149.225,-105.283,270,bottom
C5,22pF,C_0805_2012Metric,164.5285,-87.21725,90,bottom
C6,22pF,C_0805_2012Metric,155.86075,-87.21725,270,bottom
C7,1uF,C_0805_2012Metric,146.05,-96.04375,270,bottom
D1,SOD-123,D_SOD-123,189.23,-86.614,90,bottom
D2,SOD-123,D_SOD-123,210.34375,-86.614,90,bottom
D3,SOD-123,D_SOD-123,189.23,-105.664,90,bottom
D4,SOD-123,D_SOD-123,208.28,-105.664,90,bottom
D5,SOD-123,D_SOD-123,227.33,-105.664,90,bottom
D6,SOD-123,D_SOD-123,227.33,-85.852,90,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,173.83125,-88.9,270,bottom
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,204.7875,-88.10625,270,bottom
F1,500mA,Fuse_1206_3216Metric,149.225,-78.58125,90,bottom
R1,10k,R_0805_2012Metric,169.06875,-107.95,90,bottom
R2,5.1k,R_0805_2012Metric,163.449,-76.581,270,bottom
R3,5.1k,R_0805_2012Metric,154.432,-76.581,270,bottom
R4,10k,R_0805_2012Metric,146.05,-91.28125,90,bottom
R5,22,R_0805_2012Metric,157.38475,-78.87375,270,bottom
R6,22,R_0805_2012Metric,160.55975,-78.89875,270,bottom
SW1,SW_Push,SKQG-1155865,169.8625,-70.64375,90,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,159.48025,-100.86975,0,bottom
U2,PRTR5V0U2X,SOT143B,158.97225,-74.89825,180,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,159.03575,-63.246,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,160.0835,-87.122,180,bottom
